frame_idx,wall_t,ms_capture,ms_preproc,ms_framediff,ms_total,phase,state,sensor_age_ms
223,1777426366.636230,10.191,2.065,,34.696,,0.004,1.400,20.647,active,tracking,49.08,-4.04,0.80,2,1,
224,1777426366.667986,8.515,2.035,,31.612,,,,20.731,settle,tracking,47.45,,,,,1
225,1777426366.701338,10.133,1.994,,33.193,,,,20.731,settle,tracking,47.44,,,,,0
226,1777426366.740788,10.016,2.062,,39.245,,4.685,1.394,20.709,active,tracking,53.54,-3.80,0.40,2,1,
227,1777426366.768200,4.193,2.049,,27.281,,,,20.704,settle,tracking,47.57,,,,,1
228,1777426366.801453,10.018,2.013,,33.092,,,,20.676,settle,tracking,47.46,,,,,0
229,1777426366.836209,10.066,2.062,,34.601,,0.004,1.415,20.688,active,tracking,48.87,-3.56,0.16,2,1,
230,1777426366.868159,8.602,2.056,,31.808,,,,20.814,settle,tracking,47.44,,,,,1
231,1777426366.901851,10.543,2.019,,33.528,,,,20.629,settle,tracking,47.76,,,,,0
232,1777426366.936468,9.909,2.063,,34.458,,0.005,1.420,20.699,active,tracking,49.04,-3.16,-0.04,2,1,
233,1777426366.968283,8.565,2.042,,31.674,,,,20.729,settle,tracking,47.47,,,,,1
234,1777426367.001958,10.502,2.007,,33.518,,,,20.674,settle,tracking,47.77,,,,,0
235,1777426367.041173,9.846,2.077,,39.062,,4.714,1.403,20.644,active,tracking,53.65,-2.72,-0.44,2,1,
236,1777426367.068521,4.150,2.010,,27.212,,,,20.716,settle,tracking,47.61,,,,,1
237,1777426367.101627,9.887,2.008,,32.944,,,,20.661,settle,tracking,47.35,,,,,0
238,1777426367.140788,14.179,2.320,,39.010,,0.004,1.398,20.758,active,tracking,53.17,-2.24,-0.48,2,1,
239,1777426367.168166,4.150,2.022,,27.198,,,,20.694,settle,tracking,47.16,,,,,1
240,1777426367.201933,9.840,1.995,,32.869,,,,20.700,settle,tracking,47.56,,,,,0
241,1777426367.237058,10.505,2.064,,34.968,,0.004,1.421,20.615,active,tracking,49.34,-1.84,-0.56,2,1,
242,1777426367.268735,8.432,2.007,,31.535,,,,20.732,settle,tracking,47.63,,,,,1
243,1777426367.301924,9.938,2.020,,33.027,,,,20.732,settle,tracking,47.46,,,,,0
244,1777426367.340174,10.258,2.048,,38.098,,4.682,,20.760,active,tracking,52.36,,,,0,
245,1777426367.368885,5.519,2.010,,28.559,,0.004,,20.686,active,tracking,47.69,,,,0,
246,1777426367.402392,10.110,1.995,,33.345,,0.006,,20.895,active,tracking,47.84,,,,0,
247,1777426367.440366,9.890,2.051,,37.816,,4.726,,20.792,active,tracking,52.45,,,,0,
248,1777426367.469100,5.554,2.026,,28.586,,0.006,,20.658,active,tracking,47.81,,,,0,
249,1777426367.502288,9.964,2.004,,33.027,,0.004,,20.710,active,tracking,47.64,,,,0,
250,1777426367.540391,10.096,2.056,,37.945,,4.708,,20.740,active,tracking,52.38,,,,0,
251,1777426367.570061,6.495,2.020,,29.516,,0.005,,20.653,active,tracking,48.68,,,,0,
252,1777426367.601963,8.535,2.008,,31.735,,0.004,,20.839,active,tracking,47.22,,,,0,
253,1777426367.640042,10.187,2.074,,37.923,,4.599,,20.700,active,tracking,51.94,,,,0,
254,1777426367.670638,7.340,2.029,,30.448,,0.006,,20.724,active,tracking,49.17,,,,0,
255,1777426367.701965,8.080,2.010,,31.165,,0.005,,20.726,active,tracking,47.13,,,,0,
256,1777426367.740254,10.266,2.076,,38.133,,4.701,,20.733,active,tracking,52.06,,,,0,
257,1777426367.769221,5.785,2.020,,28.815,,0.006,,20.663,active,tracking,47.65,,,,0,
