frame_idx,wall_t,ms_capture,ms_preproc,ms_framediff,ms_total,phase,state,sensor_age_ms
261,1777427223.327914,1.997,2.029,,36.294,,31.938,0.005,,active,tracking,74.73,,,,0,
262,1777427223.368686,2.002,2.047,,40.627,,31.791,4.450,,active,tracking,82.12,,,,0,
263,1777427223.406341,2.156,2.060,,37.504,,32.943,0.004,,active,tracking,86.41,,,,0,
264,1777427223.443330,2.091,2.214,,36.827,,32.167,0.005,,active,tracking,90.02,,,,0,
265,1777427223.485705,2.290,2.009,,42.049,,32.742,4.691,,active,tracking,99.07,,,,0,
266,1777427223.522169,1.976,2.093,,36.323,,31.925,0.004,,active,tracking,68.80,,,,0,
267,1777427223.558298,1.953,2.049,,35.986,,31.656,0.004,,active,tracking,71.55,,,,0,
268,1777427223.598934,1.947,2.053,,40.488,,31.647,4.502,,active,tracking,78.83,,,,0,
269,1777427223.635516,2.058,2.117,,36.433,,31.923,0.004,,active,tracking,82.05,,,,0,
270,1777427223.672340,2.090,2.117,,36.677,,32.128,0.005,,active,tracking,85.50,,,,0,
271,1777427223.714166,2.113,2.111,,41.676,,32.194,4.896,,active,tracking,93.98,,,,0,
272,1777427223.750836,1.969,2.076,,36.529,,32.160,0.004,,active,tracking,63.92,,,,0,
273,1777427223.787143,1.885,2.086,,36.166,,31.858,0.005,,active,tracking,66.86,,,,0,
274,1777427223.827738,1.932,2.042,,40.453,,31.658,4.490,,active,tracking,74.10,,,,0,
275,1777427223.864049,2.058,1.980,,36.164,,31.799,0.004,,active,tracking,77.04,,,,0,
276,1777427223.900250,1.998,2.060,,36.060,,31.665,0.004,,active,tracking,79.86,,,,0,
277,1777427223.941495,2.023,2.070,,41.096,,32.020,4.640,,active,tracking,87.74,,,,0,
278,1777427223.979320,2.300,2.401,,37.675,,32.628,0.004,,active,tracking,92.22,,,,0,
279,1777427224.016363,2.007,2.024,,36.906,,32.489,0.004,,active,tracking,95.87,,,,0,
280,1777427224.056999,1.892,2.060,,40.370,,31.696,4.394,,active,tracking,69.79,,,,0,
