frame_idx,wall_t,ms_capture,ms_preproc,ms_framediff,ms_total,phase,state,sensor_age_ms
107,1777426442.755539,2.427,2.323,,52.007,,1.411,45.491,active,tracking,105.12,1,2.96,-1.04,2,
108,1777426442.805586,2.044,2.034,,49.910,,,45.384,settle,tracking,88.41,,,,,1
109,1777426442.855913,2.480,2.058,,50.174,,,45.292,settle,tracking,105.37,,,,,0
110,1777426442.907653,2.128,2.017,,51.581,,1.425,45.633,active,tracking,90.42,1,3.00,-1.44,2,
111,1777426442.957764,2.125,2.014,,49.981,,,45.499,settle,tracking,107.14,,,,,1
112,1777426443.008004,2.058,2.094,,50.083,,,45.520,settle,tracking,90.64,,,,,0
113,1777426443.059998,2.515,1.996,,51.834,,1.412,45.545,active,tracking,109.30,1,2.92,-1.04,2,
114,1777426443.110455,2.064,2.270,,50.326,,,45.620,settle,tracking,93.01,,,,,1
115,1777426443.162944,2.485,2.752,,52.207,,,46.528,settle,tracking,78.76,,,,,0
116,1777426443.214601,2.192,2.148,,51.507,,1.421,45.380,active,tracking,97.08,1,2.08,-0.64,2,
117,1777426443.264433,1.979,2.022,,49.701,,,45.355,settle,tracking,80.16,,,,,1
118,1777426443.314608,2.211,2.070,,50.016,,,45.386,settle,tracking,96.98,,,,,0
119,1777426443.364453,2.054,2.035,,49.691,,,45.250,active,tracking,80.09,0,,,,
120,1777426443.415450,2.197,2.269,,50.248,,,45.424,active,tracking,97.72,0,,,,
121,1777426443.465109,2.072,1.958,,49.499,,,45.108,active,tracking,80.65,0,,,,
122,1777426443.515496,2.250,2.076,,50.223,,,45.530,active,tracking,97.67,0,,,,
123,1777426443.565173,2.088,1.965,,49.518,,,45.108,active,tracking,80.62,0,,,,
124,1777426443.615561,2.295,2.095,,50.220,,,45.481,active,tracking,97.64,0,,,,
125,1777426443.665161,2.072,1.953,,49.442,,,45.057,active,tracking,80.51,0,,,,
126,1777426443.715445,2.235,2.095,,50.120,,,45.434,active,tracking,97.43,0,,,,
127,1777426443.765232,2.110,2.009,,49.629,,,45.148,active,tracking,80.49,0,,,,
128,1777426443.815549,2.170,2.081,,50.102,,,45.500,active,tracking,97.44,0,,,,
129,1777426443.866717,2.085,1.975,,51.008,,1.476,45.100,active,tracking,81.91,1,-1.60,-0.84,2,
130,1777426443.916919,2.091,2.157,,50.062,,,45.473,settle,tracking,98.71,,,,,1
131,1777426443.966743,2.052,2.023,,49.667,,,45.223,settle,tracking,81.81,,,,,0
132,1777426444.018321,2.208,2.133,,51.416,,1.421,45.294,active,tracking,100.05,1,-2.12,-1.12,2,
133,1777426444.068088,1.996,2.063,,49.633,,,45.196,settle,tracking,83.07,,,,,1
134,1777426444.120178,2.213,2.082,,51.933,,,47.283,settle,tracking,101.79,,,,,0
135,1777426444.171612,2.104,2.009,,51.265,,1.431,45.342,active,tracking,86.52,1,-1.88,-1.16,2,
136,1777426444.222400,2.389,2.361,,50.650,,,45.561,settle,tracking,103.93,,,,,1
137,1777426444.272237,2.090,2.069,,49.674,,,45.146,settle,tracking,87.02,,,,,0
138,1777426444.322675,2.245,2.368,,50.269,,,45.310,active,tracking,104.10,0,,,,
139,1777426444.372516,2.072,2.054,,49.679,,,45.191,active,tracking,87.22,0,,,,
140,1777426444.422960,2.244,2.356,,50.275,,,45.334,active,tracking,104.29,0,,,,
141,1777426444.472834,2.072,2.049,,49.713,,,45.221,active,tracking,87.44,0,,,,
142,1777426444.523369,2.520,2.113,,50.356,,,45.366,active,tracking,104.60,0,,,,
143,1777426444.573339,2.121,2.021,,49.807,,,45.276,active,tracking,87.85,0,,,,
144,1777426444.623599,2.256,2.069,,50.023,,,45.344,active,tracking,104.74,0,,,,
145,1777426444.673613,2.106,2.041,,49.850,,,45.244,active,tracking,88.03,0,,,,
146,1777426444.723854,2.243,2.106,,50.075,,,45.374,active,tracking,104.91,0,,,,
147,1777426444.775750,2.120,2.021,,51.739,,1.553,45.608,active,tracking,90.10,1,-0.88,-1.40,2,
148,1777426444.825580,1.904,2.004,,49.707,,,45.393,settle,tracking,73.16,,,,,1
149,1777426444.875767,2.045,2.067,,50.039,,,45.501,settle,tracking,90.00,,,,,0
150,1777426444.927888,2.365,2.005,,51.739,,1.420,45.580,active,tracking,75.40,1,-1.52,-1.68,2,
151,1777426444.977900,2.059,2.019,,49.877,,,45.458,settle,tracking,92.04,,,,,1
152,1777426445.028627,2.028,2.098,,50.576,,,46.103,settle,tracking,76.03,,,,,0
153,1777426445.080132,2.117,2.035,,51.315,,1.419,45.382,active,tracking,94.19,1,-2.20,-1.56,2,
154,1777426445.132370,2.041,2.014,,52.105,,,47.691,settle,tracking,79.68,,,,,1
155,1777426445.182675,2.131,2.103,,50.154,,,45.568,settle,tracking,96.62,,,,,0
156,1777426445.234347,2.068,2.072,,51.518,,1.425,45.579,active,tracking,81.58,1,-2.00,-1.08,2,
